cnname,cnbelong,cnprovinceName,cncityName
深圳职业技术大学,省政府,广东,深圳市
浙江财经大学,省政府,浙江,杭州市
长沙理工大学,省政府,湖南,长沙市
河南大学,省政府,河南,开封市
成都理工大学,省政府,四川,成都市
河北医科大学,省政府,河北,石家庄
首都师范大学,市政府,北京,海淀区
南京林业大学,省政府,江苏,南京市
南昌大学,省政府,江西,南昌市
浙江理工大学,省政府,浙江,杭州市
西安工业大学,省政府,陕西,西安市
南京审计大学,省政府,江苏,南京市
广州中医药大学,省政府,广东,广州市
成都中医药大学,省政府,四川,成都市
湖北大学,省政府,湖北,武汉市
中国石油大学(北京)克拉玛依校区,教育部,新疆,克拉玛依市
浙江师范大学,省政府,浙江,金华市
延边大学,省政府,吉林,延边朝鲜族自治州
桂林电子科技大学,自治区政府,广西,桂林市
广州医科大学,省政府,广东,广州市
宁波诺丁汉大学,省教育厅,浙江,宁波市
成都信息工程大学,省政府,四川,成都市
上海对外经贸大学,市政府,上海,松江区
东北农业大学,省政府,黑龙江,哈尔滨市
南京工业大学,省政府,江苏,南京市
中国计量大学,省政府,浙江,杭州市
深圳信息职业技术大学,省政府,广东,深圳市
四川农业大学,省政府,四川,雅安市
南京中医药大学,省政府,江苏,南京市
大连交通大学,省政府,辽宁,大连市
山东师范大学,省政府,山东,济南市
中国美术学院,省政府,浙江,杭州市
辽宁师范大学,省政府,辽宁,大连市
杭州师范大学,省政府,浙江,杭州市
太原理工大学,省政府,山西,太原市
中国人民解放军空军工程大学航空机务士官学校,人民解放军空军,河南,信阳市
福建师范大学,省政府,福建,福州市
汕头大学,省政府,广东,汕头市
广东警官学院,省政府,广东,广州市
深圳北理莫斯科大学,省教育厅,广东,深圳市
空军预警学院,人民解放军空军,湖北,武汉市
南昌航空大学,省政府,江西,南昌市
上海电力大学,市政府,上海,杨浦区
天津中医药大学,市政府,天津,静海区
上海政法学院,市政府,上海,青浦区
山东财经大学,省政府,山东,济南市
中南民族大学,国民委,湖北,武汉市
石家庄铁道大学,省政府,河北,石家庄
青海大学,省政府,青海,西宁市
南京财经大学,省政府,江苏,南京市
空军航空大学,人民解放军空军,吉林,长春市
湖北工业大学,省政府,湖北,武汉市
中国青年政治学院,共青团,北京,海淀区
华东交通大学,省政府,江西,南昌市
成都大学,省政府,四川,成都市
山东科技大学,省政府,山东,青岛市
山西大学,省政府,山西,太原市
河北师范大学,省政府,河北,石家庄
南京警察学院,公安部,江苏,南京市
陕西科技大学,省政府,陕西,西安市
河北大学,省政府,河北,保定市
四川师范大学,省政府,四川,成都市
华侨大学,统战部,福建,泉州市
兰州交通大学,省政府,甘肃,兰州市
天津财经大学,市政府,天津,河西区
中国人民解放军空军西安飞行学院,人民解放军空军,陕西,西安市
上海师范大学,市政府,上海,徐汇区
扬州大学,省政府,江苏,扬州市
上海海事大学,市政府,上海,浦东新区
武汉工程大学,省政府,湖北,武汉市
西南医科大学,省政府,四川,泸州市
青岛科技大学,省政府,山东,青岛市
广东财经大学,省政府,广东,广州市
广西医科大学,自治区政府,广西,南宁市
长春理工大学,省政府,吉林,长春市
东莞理工学院,省政府,广东,东莞市
江苏科技大学,省政府,江苏,镇江市
海军工程大学,人民解放军海军,湖北,武汉市
三峡大学,省政府,湖北,宜昌市
集美大学,省政府,福建,厦门市
江西师范大学,省政府,江西,南昌市
沈阳理工大学,省政府,辽宁,沈阳市
北师香港浸会大学,省教育厅,广东,珠海市
广西中医药大学,自治区政府,广西,南宁市
天津理工大学,市政府,天津,西青区
四川警察学院,省政府,四川,泸州市
西安外国语大学,省政府,陕西,西安市
青岛理工大学,省政府,山东,青岛市
上海海洋大学,市政府,上海,浦东新区
哈尔滨理工大学,省政府,黑龙江,哈尔滨市
佛山大学,省政府,广东,佛山市
福建医科大学,省政府,福建,福州市
安徽师范大学,省政府,安徽,芜湖市
西藏大学,自治区政府,西藏,拉萨市
陆军步兵学院,人民解放军陆军,江西,南昌市
安徽理工大学,省政府,安徽,淮南市
昆明医科大学,省政府,云南,昆明市
重庆理工大学,市政府,重庆,巴南区
中国人民解放军空军指挥学院,人民解放军空军,北京,海淀区
浙江传媒学院,省政府,浙江,杭州市
南通大学,省政府,江苏,南通市
江汉大学,省政府,湖北,武汉市
温州大学,省政府,浙江,温州市
陆军边海防学院,人民解放军陆军,陕西,西安市
西安石油大学,省政府,陕西,西安市
河北经贸大学,省政府,河北,石家庄
湖南科技大学,省政府,湖南,湘潭市
上海体育大学,市政府,上海,杨浦区
天津科技大学,市政府,天津,河西区
重庆师范大学,市政府,重庆,沙坪坝区
西华大学,省政府,四川,成都市
济南大学,省政府,山东,济南市
天津师范大学,市政府,天津,西青区
河南财经政法大学,省政府,河南,郑州市
武汉音乐学院,省政府,湖北,武汉市
贵州师范大学,省政府,贵州,贵阳市
沈阳工业大学,省政府,辽宁,沈阳市
山东政法学院,省政府,山东,济南市
中国民用航空飞行学院,交通运输部,四川,德阳市
