项目名称,项目ID,项目地点
2025年连城县北团等2个乡（镇）高标准农田建设项目（新建及改造提升）(北团镇孙台片)、2025年连城县北团等2个乡(镇)高标准农田建设项目（新建及改造提升）(北团镇柯坊片),272324,连城县
美林街道后田社区城中村现代化治理蔡林和后詹里环境整治工程（施工）,272320,厦门市
新建新步渠、新步排涝泵站及周边雨水收集系统等提升工程-新步渠及新步排涝泵站工程（招标公告）,272318,鲤城区
宁化县毓政路道路工程,272307,宁化县
漳州市公安局龙文分局执法办案管理中心项目招标公告,272306,市本级
2024P16地块建设项目全过程工程咨询,272305,市本级
洪塘片区地下排水管网改造工程（施工）,272303,厦门市
龙海市水系连通及农村水系综合整治工程（榜山至白水段）-增效项目施工招标公告,272297,龙海市
福厦高铁土地综合开发用地排洪渠工程-孙霞路、仁德路排洪渠（施工）,272296,厦门市
泉港第一中学新校区（高中部）项目（招标公告）,272290,泉港区
涵江区萩芦溪河道整治工程（庄边段）,272286,涵江区
峰市集镇市场功能恢复项目,272282,永定县
福州市浦西路道路工程（施工）-招标公告,272279,台江区
福安市城镇环境卫生垃圾处理工程（垃圾处理中心）（监理）,272275,福安市
福建武夷山武鑫工贸有限公司管理用房及附属设施修缮改造项目,272271,武夷山市
莆田市燃气管道等老化更新改造工程（一期）项目（设计、采购、施工、运营一体化）,272268,市本级
泉州至厦门至漳州城际铁路R1线（厦门段）土建工程监理1标,272267,厦门市
厦门ABB工业园区二期2.3MW分布式车棚光伏发电项目（施工）,272265,厦门市
漳州市公安局龙文分局执法办案管理中心项目施工监理招标公告,272264,市本级
福安市公安局赛岐派出所业务用房装饰工程,272263,福安市
数字古田智慧城市能力提升项目（应急广播体系建设工程）,272262,古田县
金沙园北区综合工业区B1厂房维修工程,272257,沙县
2025年福建宁德市海洋生态保护修复项目（监理）,272256,霞浦县
沙埔公共交通枢纽场站（施工）-招标公告,272255,福清市
连城县城镇污水处理设施更新改造项目-莲中路污水管网更新改造工程,272254,连城县
木兰溪流域（华亭镇段）水生态环境综合治理工程,272250,城厢区
三明生态新城如意湖湿地公园海绵化提升工程（二期）,272246,沙县
福长路周边环境综合整治工程（施工）-招标公告,272245,福清市
漳州市南靖县城区市政地下排水管线升级改造工程（怀远路片区排水管线升级改造工程）监理,272244,南靖县
航城智创中心（勘察设计“评定分离”）,272239,厦门市
永安市公安局公安业务技术用房和执法办案中心建设项目全过程工程咨询,272238,永安市
长乐G228线文岭阜山隧道病害维修工程-招标公告,272236,长乐市
永泰县上马路、后垅路污水改造工程（施工）-招标公告,272235,永泰县
航城智慧物流园（勘察设计“评定分离”）,272233,厦门市
G357线上杭县黄坊村至武平县十方高速出口路面改造工程、武平县G357、G358线沥青路面改造工程设计、大修、养护总承包,272231,武平县
龙门滩镇大溪湖坂格至暗畲屏公路工程(重新招标)（招标公告）,272230,德化县
政和县东平镇 Y302 线碗厂至柿田（K3+250-K5+681 段）公路改造工程,272227,政和县
将乐县粮食产后服务中心建设项目-万安基地,272226,将乐县
厦门海洋高新技术产业园区启动区一期项目-浯江道沿线配套设施项目（设计“评定分离”）,272223,厦门市
厦门海洋高新区启动区二期项目-欧厝东水系东侧市政道路工程（设计“评定分离”）,272222,厦门市
莲垵片区城中村改造配套基础设施一纬一路（招标公告）,272207,丰泽区
黄尾密鲴国家级水产种质资源保护与生态修复项目（田源乡田口村）,272205,清流县
霞美镇消防站（招标公告）,272203,南安市
福建晋江国际产业加速器项目（一期）施工监理（招标公告）,272202,晋江市
福建晋江国际产业加速器项目（一期）（招标公告）,272201,晋江市
小溪小区安置地项目电力工程（招标公告）,272200,德化县
漳州市南靖县城区市政地下排水管线升级改造工程（怀远路片区排水管线升级改造工程）,272199,南靖县
翔安南部欧厝-蔡厝沿岸海域生态修复项目-三期工程（施工“评定分离”）,272198,厦门市
翔安南部欧厝-蔡厝沿岸海域生态修复项目-三期工程（监理）,272197,厦门市
漳平市2024年高标准农田“五化”建设省级示范项目,272191,漳平市
福清市龙田镇上苍村2024年土地整治项目（施工）-招标公告,272189,福清市
福州长乐国际机场二期扩建工程机场工程航站区工程景观绿化工程（施工）-招标公告,272188,长乐市
英村保障性住房（一期）主体工程（施工“评定分离”）,272186,厦门市
2025年福建宁德市海洋生态保护修复项目设计施工总承包,272183,霞浦县
福州市仓山区建新片区城中村内涝整治工程项目（施工图设计、施工一体化）-招标公告,272182,仓山区
东山发展广场项目（一期工程）外线引入及低压出线工程招标公告,272179,东山县
漳浦县专门学校招标公告,272176,漳浦县
漳州普通国省道多功能交调站建设和升级项目,272175,市本级
桃源滞洪排涝工程（招标公告）,272169,市本级
长汀南大街历史文化街区保护提升项目（名城保护提升部分）监理,272164,长汀县
福建福海创石油化工有限公司芳烃装置优化节能改造项目三台绕管式换热器招标公告,272160,市本级
潭头福星渔港配套道路工程一航猴线琅岐大桥至潭头福星村段提升改造工程（马尾琅岐镇劳光村-长乐潭头镇潭头村路面改造工程（二期）（施工）-招标公告,272155,长乐市
漳州市漳浦县城区污水处理厂设备更新工程招标公告,272153,漳浦县
松溪县总医院及分院改扩建项目-县域体检中心（茶平）改扩建工程监理,272151,松溪县
尤溪县联合镇2024年高标准农田建设新建及改造提升项目（二期）,272146,尤溪县
尤溪县城区教育体育基础设施提升工程包工程总承包,272145,尤溪县
台湾小镇提升改造工程（施工）招标公告,272144,平潭综合实验区
晋安湖东侧地块“三创”示范园-企业孵化中心项目（装修部分）-招标公告,272143,晋安区
福清市龙田镇树下村2024年土地整治项目（施工）-招标公告,272139,福清市
安溪县医院长卿分院项目第二期二次装修工程（招标公告）,272137,安溪县
宁德蕉城区好西乡农产品批发市场（洋中镇上坎村农产品集散中心）,272127,蕉城区
美林街道湖安社区城中村治理村庄道路改造工程（施工）,272123,厦门市
福建福海创石油化工有限公司芳烃装置优化节能改造项目高通量换热器招标公告,272121,市本级
政和县第一中学南门校区（高中部）建设项目方案、初步设计,272119,政和县
片仔癀健康美妆园一期（5#~6#厂房、7#仓库、门卫一、门卫二、地下消防水池及水泵房）片仔癀健康美妆园一期（5#-6#厂房、7#仓库）电力工程,272114,市本级
长汀南大街历史文化街区保护提升项目（名城保护提升部分）建设运营一体化,272109,长汀县
漳州台商区第一中学龙江校区（二期）施工监理招标公告,272106,漳州台商投资区
宁化县城南镇横锁村至肖家村道路硬化项目,272103,宁化县
霞浦县城乡供水一体化工程七都溪渡头堰坝防渗加固项目（监理）,272096,霞浦县
霞浦县城乡供水一体化工程七都溪渡头堰坝防渗加固项目,272095,霞浦县
东山县行政事业单位及国有企业建筑分布式光伏资源开发项目（一期）－漳州市东山县屋顶太阳能资源开发项目工程总承包（EPC）（第二次）招标公告,272093,东山县
福建医科大学乌山校区E教学楼装修改造项目全过程咨询-招标公告,272091,福州市
龙祥岛江中村生态农业基础设施改造提升工程（施工）-招标公告,272090,闽侯县
竹西村农业休闲观光园建设（施工）-招标公告,272088,闽侯县
福建漳州古雷后崎110kV输变电工程（EPC）（重新招标）,272080,市本级
三明市将乐县城区排水防涝设施建设项目（水南片区一期）三明市将乐县城区排水防涝设施建设项目（水南片区一期B标段）,272074,将乐县
市管雨水管道普查缺陷修复工程（二期）勘察设计（招标公告）,272072,市本级
鼓楼区园垱街北侧道路改造工程（施工）-招标公告,272069,鼓楼区
莆田市农产品综合批发市场项目（一期）施工监理,272068,涵江区
漳州台商区第一中学龙江校区（二期）招标公告,272067,漳州台商投资区
天安经典I、II期老旧小区改造提升工程,272066,市本级
福安市城镇环境卫生垃圾处理工程（垃圾处理中心）（一期）,272065,福安市
同文市民活动中心（设计“评定分离”）,272064,厦门市
秀屿区基础设施综合提升多域兴农项目-清塘大道改造提升（一期）,272061,秀屿区
洪塘路（旧国道 324 线）（高新大道-同翔大道段）提升改造工程（监理）,272060,厦门市
洪塘路（旧国道 324 线）（高新大道-同翔大道段）提升改造工程（施工）,272055,厦门市
2025-2027年宁德高速公路宁古及宁上溪南段日常养护工程（绿化、普修）项目-招标公告,272054,福建省
福厦高铁配套综合开发区域仑上路工程（施工）,272053,厦门市
永定区龙湖水域渡口码头改造提升项目【一期，水下部分；二期，水上部分（棉花滩库区道路连接及基础设施建设）】,272052,永定县
南平市建阳区行署大院老旧小区配套基础设施提升项目—（三期工程）,272051,建阳区
福建省漳平抽水蓄能电站工程土建、金属结构及物探试验检测服务招标公告,272050,漳平市
沙县至南平高速公路南平段工程际下服务区、徐市服务区空调设备及排风系统采购,272046,顺昌县
菜园村综合服务用房,272045,新罗区
福建福海创石油化工有限公司芳烃装置优化节能改造项目37-C-105苯甲苯塔,272041,市本级
莲花镇云洋村农文旅动线改造工程（施工）,272040,厦门市
莲花镇蔗内村农文旅动线改造工程（施工）,272039,厦门市
沙县铁路公园（一期）海绵化改造,272037,沙县
平潭综合实验区总工会智慧工会平台项目招标公告,272036,平潭综合实验区
S201（联七线）路亭（霞浦界）至柘荣城关段公路（路亭至鸳鸯头叉口段）,272035,柘荣县
平和县移民工业创业园建设项目外电工程设计招标公告,272033,平和县
鼓楼区得贵巷道路改造工程（施工）-招标公告,272032,鼓楼区
漳浦县城乡供水保障工程（朝阳水库至漳浦二水厂输水管道）一期招标公告,272027,漳浦县
福建福海创石油化工有限公司芳烃联合装置优化节能项目腾龙芳烃（漳州）有限公司芳烃装置优化节能改造项目设计采购施工（EPC）总承包,272024,市本级
美林街道湖安社区城中村治理房前屋后整治工程（施工）,272019,厦门市
火炬（翔安）产业区友达回购地块（西侧）配套市政道路工程（施工）,272017,厦门市
宁德三都澳海洋经济高质量发展开发建设项目-水产交易市场,272015,蕉城区
三明市沙县区水北片老旧管网排水防涝系统化升级改造项目（东门片区）施工监理,272013,沙县
三明市建宁县县域充换电设施补短板试点项目初步设计,272011,建宁县
浦城县浦潭产业园生物制造中试基地建设项目–一、二期,272003,浦城县
浦城县浦潭产业园生物制造中试基地建设项目–一、二期施工监理,272002,浦城县
福州经济技术开发区长安工业园区排水管网工程（一期）（第二标段）（施工）-招标公告,272001,马尾区
Y007城莒线城南三期段公路拓宽工程设计、施工总承包（EPC）,271995,尤溪县
政和县城乡供水一体化建设项目西津至政和配水管网工程,271985,政和县
五新商业广场（投资、建设一体化）-招标公告,271984,晋安区
建瓯市水源乡古丁洋水库工程设计,271983,建瓯市
南平市建阳区托育综合服务中心建设项目,271976,建阳区
泉州台商投资区老旧小区改造工程（一期）一标段工程（招标公告）,271974,泉州台商投资区
大田县城区排水防涝市政设施提升改造工程（二期）和 大田县老旧小区改造工程配套基础设施建设（七期）项目 全过程咨询服务,271973,大田县
金岭工业园乡村振兴共富产业园基础设施建设,271966,光泽县
厦门园博海韵佰翔酒店项目（设计“评定分离”）,271965,厦门市
马青路西段污水管道工程（施工）,271964,厦门市
大田广平至安溪官桥高速公路三明段施工全过程造价审核服务,271963,市本级
兰水学苑地块（PS拍-2023-11号）开发建设项目施工监理,271962,荔城区
2025年新罗区中城城市片区更新省级样板工程  招标公告,271960,新罗区
泰宁县城市地下供水管网设施建设改造项目（水东片区）,271956,泰宁县
武平县域医共体资源共享中心建设项目全过程工程咨询,271955,武平县
金涵琼堂村规划道路（南阳农贸中心段）,271954,蕉城区
福建省永安抽水蓄能电站机电设备安装工程,271951,永安市
龙江置汇里(2024P20地块)项目方案设计、初步设计（含概算）(第二次）招标公告,271950,市本级
翔鹭码头投资管理（漳州）有限公司码头新建煤仓及输煤系统改造项目设计采购施工（EPC）总承包,271949,市本级
G1535潮州至南昌高速公路三明宁化曹坊至建宁均口段造价咨询服务,271945,市本级
安溪县龙涓乡宝都英坑至吉山公路改建工程（招标公告）,271944,安溪县
永春县仙溪水库工程可研、设计阶段勘察设计（招标公告）,271938,永春县
福满片区排水防涝整治工程—解放路北侧片区,271936,漳平市
柳河路以南旧改地块出让地（二）配套道路工程-招标公告,271935,鼓楼区
观澜云境工程总承包+投融资合作（招标公告）,271934,晋江市
华安县城乡一体化教育补短板项目（华安县第三实验小学、华安县实验中学）施工图设计（第二次）招标公告,271932,华安县
泉州至厦门至漳州城际铁路R1线（泉州段）工程先行开工段（池店站）土建施工（招标公告）,271931,市本级
沙县区金沙金古片区地下管网改造工程-书香名居南侧道路管网改造工程（重新招标）,271930,沙县
泉州至厦门至漳州城际铁路R1线（泉州段）工程先行开工段（池店站）土建施工监理（招标公告）,271927,市本级
晋江市实验小学（凤竹校区）扩建项目二期工程--科技楼（招标公告）,271922,晋江市
国兴大广场排涝整治工程（招标公告）,271920,丰泽区
龙门滩镇大溪湖坂格至暗畲屏公路工程（招标公告）,271919,德化县
环三都澳湾区福安湾坞半岛污水处理厂尾水深海排放工程（一期）（监理）（重新招标）,271917,福安市
华安县仙都镇大地村茶叶初加工保鲜存储项目（强村带弱村）二次招标公告,271916,华安县
霞浦县小区幼儿园建设工程-中茵外滩锦城幼儿园、建发望潮花园幼儿园、中茵珑悦国际幼儿园提升改造工程项目,271913,霞浦县
泉州至厦门至漳州城际铁路R1线（厦门段）土建工程施工1标,271912,厦门市
环三都澳湾区福安湾坞半岛污水处理厂尾水深海排放工程（一期）（施工）（重新招标）,271911,福安市
同安区档案信息中心建设项目（施工“评定分离”）,271908,厦门市
泉州至厦门至漳州城际铁路R1线工程（漳州段）工程施工项目土建SX标段招标公告,271907,市本级
泉州至厦门至漳州城际铁路R1线工程（漳州段）工程施工项目土建SX标段施工监理招标公告,271906,市本级
福建医科大学附属协和医院于山院区13号楼南区加固改造装修全过程咨询服务-招标公告,271903,鼓楼区
武夷山临安旅游基础设施提升改造项目-一期工程总承包,271899,武夷山市
福建三钢闽光股份有限公司厂区海绵化改造提升项目,271895,市本级
龙岩中心城区城北片区供水安全保障提升工程—小区给水管网改造及DN40以下逾龄水表更换项目（二、三、四标段）招标公告,271894,市本级
厦门港诏安港区进港航道一期工程施工图设计招标公告,271893,市本级
邵武市城郊镇皇庭新世界玺院小区人才用房室内装修工程,271892,邵武市
邵武市总医院及分院能力提升项目--通泰街道社区卫生服务中心整体搬迁改建项目,271890,邵武市
南靖县第一中学新建图书馆项目,271889,南靖县
漳州市长泰区中山南路——后庵片区城市更新后庵片区项目（一期）装修工程招标公告,271888,长泰县
长泰一中过街天桥工程,271887,长泰县
龙岩中心城区城北片区供水安全保障提升工程—小区给水管网改造及DN40以下逾龄水表更换项目（一标段）招标公告,271886,市本级
九头马古民居（全国重点文物保护）周边旅游配套设施提升改造项目全过程工程咨询-招标公告,271885,长乐市
金岭工业园电子科技园改造工程,271884,光泽县
周宁工业园区梨坪八蒲工业组团区基础配套设施（一期）建设项目-七步镇登科变至梨坪工业园区电力设施基础配套工程,271882,周宁县
莆田市秀屿区埭头黄岐三级渔港工程（重新招标）,271879,秀屿区
惠安县防洪排涝及污水提质增效项目—崇武镇镇区污水管网提质增效项目（一期）（招标公告）,271877,惠安县
洛江区田当路市政道路改造提升工程勘察设计（招标公告）,271876,洛江区
列西街道禁毒公园海绵化提升改造项目,271874,三元区
汀江流域上杭县中都段水环境综合治理项目（一标、二标）,271869,上杭县
三明渔溪水库工程可行性研究阶段勘察设计（含相关专题）,271865,市本级
汀江流域上杭县中都段水环境综合治理项目（三标）,271864,上杭县
厦门市海沧清水进岛一期工程（马青路-本岛段）（施工“评定分离”）,271862,厦门市
闽江尤溪流域防洪三期工程（尤溪段）设计采购施工总承包,271859,尤溪县
周宁县浦源镇东方红桥至钟山茶场公路工程,271857,周宁县
霞浦县新型智慧教育项目设计,271856,霞浦县
2025年明溪县夏阳乡高标准农田建设项目,271854,明溪县
泉州市正骨医院电子病历应用水平建设项目（招标公告）,271853,市本级
2025年福鼎市农村公路村道生命安防工程（评定分离）,271852,福鼎市
福州市住宅小区二次供水设施老化更新改造工程（一期）第1标段（施工）-招标公告,271849,福州市
厦门大学附属学校（高中部）（勘察设计“评定分离”）,271848,厦门市
同安区锐新路市政道路工程（施工）,271846,厦门市
九龙江北溪引水左干渠提升改造工程1标段（深青溪箱涵段及锦园泵站）（施工）,271844,厦门市
三明市三元区城区海绵化提升改造项目（二期）设计（二次）,271843,三元区
霞浦经济开发区霞台融合发展园基础设施建设项目全过程咨询,271842,霞浦县
政和县城东片区老旧小区基础设施改造项目-市民广场及周边整治提升项目,271836,政和县
闽江尤溪流域防洪三期工程（尤溪段）监理,271835,尤溪县
泉港区五里海湾体育公园一期工程（第一阶段）（招标公告）,271832,泉港区
福建省德化抽水蓄能电站安全监测工程（招标公告）,271828,德化县
福鼎市管阳镇天竹水库除险加固工程,271827,福鼎市
国道G228线秀屿栖梧至锦山段工程 施工监理,271825,市本级
松溪县大布粮食仓储新建项目（一期）,271824,松溪县
松溪县总医院及分院改扩建项目-县域体检中心（茶平）改扩建工程,271822,松溪县
2025年沙县区南霞乡高标准农田建设项目（新建及改造提升）一标段(松树坑村、南坑仔村)、二标段(龙松村)、三标段（蒋坡村、东周村）,271819,沙县
政和县镇前镇C292线宝岩山后至下园里岩头公路改造提升工程,271818,政和县
城北片区二院及汽车站雨污分流改造工程,271817,漳平市
安溪县蓝溪大桥改建工程勘察设计（招标公告）,271813,安溪县
福建福海创石油化工有限公司芳烃联合装置优化节能项目福建福海创石油化工有限公司芳烃装置优化节能改造项目37-C-105苯&甲苯塔塔内件,271811,市本级
上杭县优质大米产业共富基地项目1#厂房,271809,上杭县
古田县城区马挡溪片区地下管线改造工程（勘察设计）,271807,古田县
古田县城区城西排洪沟片区地下管线改造工程（勘察设计）,271806,古田县
惠安经济开发区园区基础设施补短板防风险工程项目（惠东污水厂扩建）设备采购及安装项目（招标公告）,271804,惠安县
泰宁县大田乡城乡联村道路建设工程,271802,泰宁县
2025年宁化县湖村镇高标准农田建设项目（新建及改造提升）（第一标段）、（第二标段）,271801,宁化县
2025年宁化县石壁镇高标准农田建设项目（新建及改造提升）,271799,宁化县
2025年宁化县安乐镇高标准农田建设项目（新建及改造提升）A标段、B标段,271797,宁化县
泉州台商投资区洛阳江口海洋生态保护修复项目全过程工程咨询（招标公告）,271795,泉州台商投资区
福建技师学院石狮（蚶江）校区三期工程一标段（重新招标）（招标公告）,271794,石狮市
城厢区2025年老旧小区改造项目—文献小区改造工程,271793,城厢区
福州市晋安区排水防涝及城市地下管网改造更新项目（一期）（施工图设计、施工一体化）-招标公告,271792,晋安区
永泰G355线K15+661-K26+630及K42+000-K44+630路面修复工程-招标公告,271791,永泰县
国道G228线福安下白石白招至渔江段公路工程（监理）,271790,福安市
福建省仙游县九仙溪水电开发有限公司水电站设备更新改造项目设计,271789,仙游县
青口汽车工业园区兰圃产业园新能源工业厂房（监理）-招标公告,271787,闽侯县
福建省罗源第二中学扩建工程（施工）-招标公告,271786,罗源县
厦门（新）站片区西北区市政道路及场平二期工程-站西四路雨污水工程延伸段（施工）,271785,厦门市
鼓楼区河东路道路改造工程（施工）-招标公告,271783,鼓楼区
沈海高速公路福安服务区提升改造工程（主体工程）设计采购施工总承包-招标公告,271780,福建省
上杭县通贤镇通贤村文化活动中心及图书馆项目,271779,上杭县
西气东输三线南通天然气高中压调压站工程项目（施工）-招标公告,271778,闽侯县
寿宁县芹洋乡山头村至广地村段公路改建工程,271774,寿宁县
厦门港海沧港区7#泊位码头密闭罩棚项目（施工“评定分离”）（重新公告）,271773,厦门市
国道G228线秀屿栖梧至锦山段工程,271769,市本级
福建海辰化学有限公司年产40万吨己二腈及原料配套项目厂前区（EPC）总承包,271766,市本级
同翔高新城产业公共服务配套建设项目-翔安东路延伸段三期工程-科创大道（新禾路-九坝溪路）工程（设计“评定分离”）,271757,厦门市
福安市传统村落集中连片保护利用项目一期（设计）（二次招标）,271755,福安市
福清市工人文化宫1号楼提升改造项目（一期）（施工）-招标公告,271753,福清市
国道G228线福安下白石白招至渔江段公路工程（施工）,271752,福安市
翔安洋塘公交地块保障性租赁住房（EPC）,271750,厦门市
集美浒井公交地块保障性租赁住房（EPC）,271748,厦门市
建宁县高沙洲旅游基础设施建设项目（建宁一中周边市政道路及配套工程）（二期）施工监理,271745,建宁县
2025年长汀县濯田等3个镇高标准农田建设项目(新建及改造提升)濯田项目区,271744,长汀县
2025年宁化县城郊等2镇高标准农田建设项目（新建及改造提升）（第一标段）、（第二标段）、（第三标段）、（第四标段）,271743,宁化县
翔安仙境陵园公墓项目-一期（1号公墓区）（施工）,271742,厦门市
泉州绿色建筑产业园二期工程-宿舍楼、门卫1、门卫2（招标公告）,271741,洛江区
莆田市农产品综合批发市场项目（一期）,271737,涵江区
明溪县城区市政管网改造提升工程（一期）-福溪小区至坪埠东路段排水设施改造,271736,明溪县
云霄县健康养老综合服务中心项目（园区道路及配套设施工程、园区主干道边坡支护工程、园区道路防护工程）一期招标公告,271735,云霄县
平潭跨境电商园保税加工仓库项目招标公告,271734,平潭综合实验区
连江县大埕经海潮寺至定海段公路（筱埕至定海段）工程（监理）-招标公告,271733,连江县
连江县大埕经海潮寺至定海段公路（筱埕至定海段）工程（施工）-招标公告,271731,连江县
海沧港区后井片区市政配套工程（施工“评定分离”）,271728,厦门市
中储粮龙岩直属库有限公司仓储项目（施工）,271727,新罗区
三明市燃气设施建设、更新改造及智慧燃气监管系统项目一期工程（居民超期燃气表更换项目）,271726,市本级
厦港多联中心-现代物流中心（一期）（施工“评定分离”）,271725,厦门市
大田县梅山镇文江溪沧洲段河道治理工程勘察设计,271721,大田县
琅岐闽江大桥长周期养护试点工程（大桥接线沥青砼路面修复项目）-招标公告,271720,马尾区
马銮湾新城过芸溪下游流域整治工程（施工）,271716,厦门市
福安市文体训练基地配套设施建设项目,271715,福安市
国网福建宁德供电公司调度生产综合用房（输变电工区）项目,271714,市本级
松溪县三农产业孵化基地项目（一期）（施工）,271713,松溪县
长乐高级中学新校区项目（不包含高中教学楼【南楼】部分）（监理）-招标公告,271711,长乐市
厦港多联中心-现代物流中心（一期） （监理“评定分离”）,271710,厦门市
2025年宁化县安远镇高标准农田建设项目（新建及改造提升）丰坪村、里坑村、东桥村、伍坊村+岩前村、安远村+永跃村,271708,宁化县
霞浦县乡镇污水处理提升改造工程二期（长春镇）,271704,霞浦县
祥吴社区城中村现代化治理工程（施工）,271702,厦门市
翔安隧道安全改造（加固维修及设备更新）工程（监理“评定分离”）,271701,厦门市
浦园安置房（监理）,271700,厦门市
三明市公安局三元分局市区执法办案中心施工,271699,三元区
科院北路二期延伸段输水管道工程（仁福村段-G324段）（招标公告）,271698,南安市
浦园安置房基坑支护及土石方工程（施工）,271696,厦门市
2025年凤翔街道城场城中村现代化治理项目（施工）,271692,厦门市
西湖片区初雨控制及水环境提升工程-初雨控制设施建设工程（施工）-招标公告,271691,鼓楼区
莆田市木兰溪下游水生态修复与治理工程下穿永莆铁路工程,271690,市本级
厦门市汀溪干渠防渗加固工程（勘察设计）,271689,厦门市
国道G228线霞浦梅花（福鼎界）至古镇段公路工程和国道G228线霞浦三沙石头鼻至沙江沙塘里段公路工程（监理）,271685,霞浦县
宁德新能源数字技术应用促进中心项目,271684,市本级
龙岩公司辖区2025年长大桥结构监测系统实施项目-招标公告,271683,福建省
永春县上沙岭农村休闲观光旅游项目-游客服务中心（招标公告）,271682,永春县
永春县农产品集中加工区—农副产品标准化厂房（二期）配套暖通及水电设施项目（招标公告）,271678,永春县
宁德市蕉城、东侨片区污水提质增效工程（二期）贵岐山污水处理厂（四期）工程护岸部分,271676,市本级
泉州开发区孵化基地保障性租赁住房（招标公告）,271674,经济技术开发区
政和经济开发区四期基础设施建设项目政和经济开发区松源垄、潘坑头场地平整工程,271671,政和县
建宁县城区生活污水处理能力提升工程（一期）--污水处理厂提标改造项目污水设备采购及安装,271663,建宁县
上杭县九曲水库工程勘察设计（可研、初设、招标、施工图勘察设计及相关专题报告）,271662,上杭县
2025年长汀县濯田等3个镇高标准农田建设项目(新建及改造提升)四都项目区,271661,长汀县
2025年宁化县水茜镇高标准农田建设项目（新建及改造提升）,271660,宁化县
大亭路（绥东花园安置房段）道路工程招标公告,271659,漳浦县
平和县老旧小区配套基础设施改造项目（9个小区）招标公告,271658,平和县
武夷山世界文化与自然遗产地保护展示项目-双世遗区域保护展示宣教基地（建阳区域）项目,271654,市本级
大田县均溪镇周田村智慧食用菌生产基地,271653,大田县
霍口乡霍琅线Y012霍口至王廷洋公路改建工程-招标公告,271651,罗源县
漳浦县恒爱康养中心建设项目监理招标公告,271647,漳浦县
龙湘水库移民集中安置点（里岛片区）专项勘察设计-招标公告,271645,永泰县
泉州艺术学校学生宿舍楼和运动场建设工程（招标公告）,271644,丰泽区
厦门市海沧清水进岛一期工程（马青路-本岛段）（监理）,271642,厦门市
连江县中医院病房改造及能力提升项目-病房改造工程（监理）-招标公告,271641,连江县
仙游县城区污水处理厂新建工程勘察设计,271640,仙游县
福建长乐经济开发区排水管网提升改造工程和福州临空经济示范区排水管网提升改造工程建设运营一体化-招标公告,271639,长乐市
鼓楼区小柳路道路改造工程（施工）-招标公告,271636,鼓楼区
南平市武夷新区赤岸污水处理厂扩容及配套设施更新改造工程—设备采购及安装,271634,市本级
中储粮（宁德）直属库有限公司仓储一期项目（施工）,271633,蕉城区
吴家塘大桥修缮工程,271632,邵武市
赤港服务区核心区广场改建提升项目和核心区综合楼土建改扩建项目施工监理J1合同段-招标公告,271631,福建省
莆田市城乡供水一体化—莆田农村“一户一表”及老旧管网改造工程 （秀屿区平海镇一户一表改造项目）设计施工总承包项目,271630,秀屿区
莆田市城乡供水一体化—莆田农村“一户一表”及老旧管网改造工程 （秀屿区平海镇一户一表改造项目）设计施工总承包项目施工监理,271627,秀屿区
