项目名称,项目ID,项目地点
晋江市龙湖镇洪溪-新街片区历史遗留废弃矿山生态修复项目工程（南浔、石厦、瑶厝、秀山治理区）（招标公告）,273556,晋江市
晋江市龙湖镇洪溪-新街片区历史遗留废弃矿山生态修复项目工程（洪溪治理区）（招标公告）,273555,晋江市
福州市马尾区人民法院琅岐人民法庭（施工）-招标公告,273554,马尾区
福州滨海新城漳江路延伸段及接线道路工程（监理）-招标公告,273551,长乐市
晋安区医疗卫生补短板项目全过程工程咨询-招标公告,273550,晋安区
福州滨海新城CBD周边路网及管网配套工程（监理）-招标公告,273549,长乐市
政和县城南片区排水防涝能力提升工程（南四路、支二路）,273546,政和县
闽台（宁德）新能源产业合作交流园项目-园区配套路网工程（施工）,273544,蕉城区
福安一中冠杭校区初中部教学楼等改造项目（一期）,273540,福安市
宁德市特殊教育学校中心城区校区项目（一期）施工,273539,蕉城区
漳州市龙文区港道整治改造工程勘察设计,273538,市本级
闽江富屯溪流域防洪提升工程邵武段一期晒口溪轮胎厂右岸防洪堤,273534,邵武市
长乐区城市路灯更新改造提升项目（标段二）-招标公告,273526,长乐市
惠安小桥春野文旅项目投资建设运营一体化（招标公告）,273524,惠安县
福鼎市祥云路一期工程,273522,福鼎市
福安市溪北洋片区排水防涝及配套设施建设工程（勘察设计）,273521,福安市
霞浦县北壁水闸除险加固工程施工,273518,霞浦县
武平县智慧殡葬设施业务用房,273517,武平县
闽江富屯溪流域防洪提升工程邵武段一期晒口溪下沙段防洪堤,273516,邵武市
安溪县城厢镇经兜至经岭道路改造工程（招标公告）,273514,安溪县
屏南县岭下乡集镇主干道提升改造工程,273511,屏南县
安溪县河滨北路（锦城路-天湖山庄）管网改造工程（第一标段）（招标公告）,273507,安溪县
福州轨道交通设计院有限公司协同设计管理平台项目-招标公告,273506,福州市
莆田市秀屿区东峤镇铁炉四孔闸除险加固工程,273503,秀屿区
2024年农村生活污水提升治理项目-鸿山镇（伍堡村）（招标公告）,273502,石狮市
排尾红星周边旧改地块三（长乐支路）道路工程（施工）-招标公告,273500,台江区
福鼎G104线岩前桥危桥重建工程,273499,福鼎市
快安污水处理厂配套管网提升改造工程（第一标段）（施工）-招标公告,273498,马尾区
将乐县寒际水库工程可行性研究阶段勘察设计项目,273497,将乐县
福州市省科学器材城及塑胶厂地块配套道路工程（施工）（重新招标）-招标公告,273493,台江区
武夷山市站区路片区排水防涝建设工程总承包（EPC+O）（重新招标）,273492,武夷山市
闽台（宁德）新能源产业合作交流园项目-园区配套路网工程（监理）,273491,蕉城区
福清一中江阴港城校区扩建工程（施工）-招标公告,273490,福清市
福安市疾控中心搬迁项目（监理）,273489,福安市
二环以内非沥青区管市政道路“白改黑”提升改造工程（施工）-招标公告,273488,福州市
泉州开发区污水处理厂及配套设施更新改造项目—调蓄池项目（招标公告）,273487,经济技术开发区
周宁县文化艺术服务中心建设项目全过程工程咨询,273485,周宁县
省运会市区场馆提升项目（二期）,273484,市本级
厦门市交通基础设施安全韧性提升工程（勘察设计“评定分离”）,273483,厦门市
顺昌县双溪片区老旧小区改造项目-和勤片区,273482,顺昌县
宁德市特殊教育学校中心城区校区项目（一期）监理,273481,蕉城区
宁德霞浦海上风电场B区项目现场技术咨询服务,273480,霞浦县
三元区富兴堡永兴路（规划支路6）市政道路工程,273479,市本级
闽江富屯溪流域防洪提升工程邵武段一期富屯溪医药站防洪堤施工,273472,邵武市
闽江富屯溪流域防洪提升工程邵武段一期（晒口溪下沙段、晒口溪轮胎厂右岸、富屯溪医药站、金山溪太保防洪堤）监理,273471,邵武市
闽江富屯溪流域防洪提升工程邵武段一期金山溪太保防洪堤施工,273470,邵武市
2024HP02地块、2024HP03地块工程（施工）,273462,厦门市
龙文区第二批城市“金厝边”小微公共空间项目工程一期,273459,市本级
漳州至汕头铁路漳浦站站前配套设施工程勘察设计（第二次）招标公告,273456,漳浦县
开元创新社区B08地块（监理）,273449,厦门市
种养加产业园(白水)山边村长边水库排洪沟工程施工招标公告,273447,龙海市
城厢区龙德井片区周边配套道路提升改造（白改黑及缆线下地）工程,273446,城厢区
武夷山市红茶文化保护提升工程（工程总承包）,273444,武夷山市
政和县青龙庄老旧小区配套基础设施建设项目（飞凤山片区）三期,273443,政和县
泉州市永春县一都镇仙友等6个村2025年高标准农田改造提升（农田连片整治）项目（招标公告）,273442,永春县
沙县区城区污水处理厂提标扩建项目(配套老旧污水泵站及管网更新修复)设计,273440,沙县
泉州市永春县达埔镇达山等2个村2025年高标准农田改造提升（农田连片整治）项目（招标公告）,273434,永春县
厦门软件园三期G36地块（监理“评定分离”）,273433,厦门市
福建省三明金叶复烤有限公司选叶中心及配套工程建设项目工程监理,273431,三元区
建宁红一方面军领导机关旧址保护提升项目监理,273430,建宁县
福州市普通公路交通基础设施数字化转型升级设计施工总承包-招标公告,273429,福州市
永春县魁星旅游基础设施建设项目（二期）-魁星岩游客服务中心（招标公告）,273428,永春县
九龙江流域祥华乡白荇溪支流水环境综合治理项目（招标公告）,273426,泉州市
新民街道2025年房前屋后环境整治项目（施工）,273425,厦门市
西柯街道埭头社区城中村现代化治理项目雨污水改造、道路改造及环境整治工程（EPC+O）,273424,厦门市
泉州市永春县东关镇东关等3个村2025年高标准农田改造提升(农田连片整治)项目（招标公告）,273418,永春县
金崎片区市政道路一纬五路项目设计（招标公告）,273417,丰泽区
石狮市二次供水及配套设备、设施、管网新建与改造工程（续建）设计（招标公告）,273416,石狮市
开元创新社区B08地块（施工“评定分离”）,273415,厦门市
湖洋镇农产品分拣包装保鲜冷冻仓储中心项目,273414,上杭县
龙海区海澄镇玉枕渡口改造工程施工招标公告,273412,市本级
福安市范坑乡范坑村至上白石交界段路面提升工程,273411,福安市
福鼎市Y868贯军线贯岭至罗坵段公路路面工程（评定分离）,273409,福鼎市
台2025P02地块勘察设计招标公告,273408,漳州台商投资区
宁德市闽海路（漳湾大道至塘一路段）道路工程设计,273404,蕉城区
